City,State,Year,Population
Commerce City,Colorado,2013,49797
Compton,California,2013,97664
Concord,California,2013,125926
Concord,North Carolina,2013,83358
Conroe,Texas,2013,70576
Conway,Arkansas,2013,63274
Coon Rapids,Minnesota,2013,62064
Coral Gables,Florida,2013,50215
Coral Springs,Florida,2013,127296
Corona,California,2013,158986
Corpus Christi,Texas,2013,317101
Corvallis,Oregon,2013,54711
Costa Mesa,California,2013,112307
Council Bluffs,Iowa,2013,62103
Cranston,Rhode Island,2013,80972
Cupertino,California,2013,60238
Dallas,Texas,2013,1259239
Daly City,California,2013,105047
Danbury,Connecticut,2013,83606
Davenport,Iowa,2013,102046
Davie,Florida,2013,97653
Davis,California,2013,66233
Dayton,Ohio,2013,142029
Daytona Beach,Florida,2013,62941
DeSoto,Texas,2013,51640
Dearborn Heights,Michigan,2013,56656
Dearborn,Michigan,2013,96071
Decatur,Alabama,2013,55439
Decatur,Illinois,2013,74964
Deerfield Beach,Florida,2013,78028
Delano,California,2013,52342
Delray Beach,Florida,2013,64207
Deltona,Florida,2013,85575
Denton,Texas,2013,125100
Denver,Colorado,2013,649513
Des Moines,Iowa,2013,212035
Des Plaines,Illinois,2013,59136
Detroit,Michigan,2013,691883
Diamond Bar,California,2013,56256
Doral,Florida,2013,50552
Dothan,Alabama,2013,67546
Downey,California,2013,112934
Dublin,California,2013,52048
Dubuque,Iowa,2013,58486
Duluth,Minnesota,2013,86035
Durham,North Carolina,2013,247002
Eagan,Minnesota,2013,65411
East Orange,New Jersey,2013,64237
Eastvale,California,2013,56482
Eau Claire,Wisconsin,2013,67893
Eden Prairie,Minnesota,2013,62679
Edina,Minnesota,2013,49503
Edinburg,Texas,2013,88470
Edmond,Oklahoma,2013,86988
El Cajon,California,2013,102274
El Monte,California,2013,115447
El Paso,Texas,2013,675222
Elgin,Illinois,2013,110128
Elizabeth,New Jersey,2013,127305
Elk Grove,California,2013,160314
Elkhart,Indiana,2013,52182
Elyria,Ohio,2013,54118
Encinitas,California,2013,61571
Enid,Oklahoma,2013,50802
Erie,Pennsylvania,2013,100533
Escondido,California,2013,148860
Eugene,Oregon,2013,158451
Euless,Texas,2013,53156
Evanston,Illinois,2013,76013
Evansville,Indiana,2013,120296
Everett,Washington,2013,105175
Fairfield,California,2013,109130
Fall River,Massachusetts,2013,88993
Fargo,North Dakota,2013,113676
Farmington Hills,Michigan,2013,81492
Fayetteville,Arkansas,2013,78651
Fayetteville,North Carolina,2013,211051
Federal Way,Washington,2013,92723
Fishers,Indiana,2013,84468
Flagstaff,Arizona,2013,68110
Flint,Michigan,2013,99427
Florissant,Missouri,2013,52304
Flower Mound,Texas,2013,68318
Folsom,California,2013,72857
Fontana,California,2013,202804
Fort Collins,Colorado,2013,152462
Fort Lauderdale,Florida,2013,172329
Fort Myers,Florida,2013,67820
Fort Smith,Arkansas,2013,87400
Fort Wayne,Indiana,2013,259354
Fort Worth,Texas,2013,796175
Fountain Valley,California,2013,56632
Framingham,Massachusetts,2013,70417
Franklin,Tennessee,2013,68845
Frederick,Maryland,2013,66833
Fremont,California,2013,224888
Fresno,California,2013,509104
Frisco,Texas,2013,136733
Fullerton,California,2013,138716
Gainesville,Florida,2013,126104
Gaithersburg,Maryland,2013,65688
Galveston,Texas,2013,48687
Garden Grove,California,2013,174518
Gardena,California,2013,59826
Garland,Texas,2013,234783
Gary,Indiana,2013,78586
Gastonia,North Carolina,2013,72820
Georgetown,Texas,2013,54807
Gilbert,Arizona,2013,221598
Gilroy,California,2013,51924
Glendale,Arizona,2013,236885
Glendale,California,2013,195450
Glendora,California,2013,51142
Goodyear,Arizona,2013,70390
Grand Forks,North Dakota,2013,54896
Grand Island,Nebraska,2013,50330
Grand Junction,Colorado,2013,59968
Grand Prairie,Texas,2013,183994
Grand Rapids,Michigan,2013,192991
Grapevine,Texas,2013,50138
Great Falls,Montana,2013,59528
Greeley,Colorado,2013,96594
Green Bay,Wisconsin,2013,104630
Greensboro,North Carolina,2013,279244
Greenville,North Carolina,2013,88879
Greenville,South Carolina,2013,60488
Greenwood,Indiana,2013,53721
Gresham,Oregon,2013,109240
Gulfport,Mississippi,2013,70782
Hamilton,Ohio,2013,62281
Hammond,Indiana,2013,79027
Hampton,Virginia,2013,137243
Hanford,California,2013,54707
Harlingen,Texas,2013,65739
Harrisonburg,Virginia,2013,51550
Hartford,Connecticut,2013,125142
Haverhill,Massachusetts,2013,62283
Hawthorne,California,2013,85926
Hayward,California,2013,151709
Hemet,California,2013,81743
Hempstead vi,New York,2013,55478
Henderson,Nevada,2013,268450
Hendersonville,Tennessee,2013,53824
Hesperia,California,2013,91850
Hialeah,Florida,2013,234616
High Point,North Carolina,2013,107559
Highland,California,2013,54169
Hillsboro,Oregon,2013,98192
Hoboken,New Jersey,2013,52187
Hoffman Estates vi,Illinois,2013,52415
Hollywood,Florida,2013,146081
Homestead,Florida,2013,64897
Hoover,Alabama,2013,83247
Houston,Texas,2013,2198280
Huntersville,North Carolina,2013,50534
Huntington Beach,California,2013,197212
Huntington Park,California,2013,58768
Huntsville,Alabama,2013,185841
Idaho Falls,Idaho,2013,58338
Independence,Missouri,2013,117275
Indianapolis city (bal,Indiana,2013,844081
Indio,California,2013,83427
Inglewood,California,2013,111055
Iowa City,Iowa,2013,71453
Irvine,California,2013,236134
Irving,Texas,2013,229053
Jackson,Mississippi,2013,172943
Jackson,Tennessee,2013,67464
Jacksonville,Florida,2013,842762
Jacksonville,North Carolina,2013,75503
Janesville,Wisconsin,2013,63655
Jersey City,New Jersey,2013,257243
Johns Creek,Georgia,2013,82467
Johnson City,Tennessee,2013,64693
Joliet,Illinois,2013,147910
Jonesboro,Arkansas,2013,71582
Joplin,Missouri,2013,48882
Jupiter,Florida,2013,58510
Jurupa Valley,California,2013,99479
Kalamazoo,Michigan,2013,75796
Kansas City,Kansas,2013,148942
Kansas City,Missouri,2013,467243
Kenner,Louisiana,2013,66891
Kennewick,Washington,2013,76598
Kenosha,Wisconsin,2013,99756
Kent,Washington,2013,124522
Kentwood,Michigan,2013,50361
Kettering,Ohio,2013,55809
Killeen,Texas,2013,136322
Kingsport,Tennessee,2013,52828
Kirkland,Washington,2013,84539
Kissimmee,Florida,2013,64956
Knoxville,Tennessee,2013,182177
Kokomo,Indiana,2013,58071
La Crosse,Wisconsin,2013,51891
La Habra,California,2013,61527
La Mesa,California,2013,58582
Lacey,Washington,2013,44809
Lafayette,Indiana,2013,70975
Lafayette,Louisiana,2013,124840
Laguna Niguel,California,2013,64415
Lake Charles,Louisiana,2013,73708
Lake Elsinore,California,2013,57730
Lake Forest,California,2013,79156
Lake Havasu City,Arizona,2013,52794
Lakeland,Florida,2013,100366
Lakeville,Minnesota,2013,58705
Lakewood,California,2013,80911
Lakewood,Colorado,2013,146909
Lakewood,Ohio,2013,51259
Lakewood,Washington,2013,58142
Lancaster,California,2013,159136
Lancaster,Pennsylvania,2013,59468
Lansing,Michigan,2013,114736
Laredo,Texas,2013,249822
Largo,Florida,2013,80332
Las Cruces,New Mexico,2013,101307
Las Vegas,Nevada,2013,599777
Lauderhill,Florida,2013,69548
Lawrence,Kansas,2013,91179
Lawrence,Massachusetts,2013,78401
Lawton,Oklahoma,2013,97018
Layton,Utah,2013,70962
League City,Texas,2013,90839
Leander,Texas,2013,32804
Lee's Summit,Missouri,2013,92969
Leesburg,Virginia,2013,47695
Lehi,Utah,2013,55099
Lenexa,Kansas,2013,50278
Lewisville,Texas,2013,101065
Lexington-Fayette urban c,Kentucky,2013,310010
Lincoln,Nebraska,2013,268937
Little Elm,Texas,2013,33130
Little Rock,Arkansas,2013,197084
Livermore,California,2013,85476
Livonia,Michigan,2013,95244
Lodi,California,2013,63166
Logan,Utah,2013,49079
Long Beach,California,2013,468303
Longmont,Colorado,2013,90217
Longview,Texas,2013,81319
Lorain,Ohio,2013,63725
Los Angeles,California,2013,3883916
Louisville/Jefferson County metro government (bal,Kentucky,2013,610339
Loveland,Colorado,2013,71135
Lowell,Massachusetts,2013,109768
Lubbock,Texas,2013,239411
Lynchburg,Virginia,2013,77950
Lynn,Massachusetts,2013,92048
Lynwood,California,2013,71197
Macon-Bibb C,Georgia,2013,155036
Madera,California,2013,62695
Madison,Alabama,2013,45880
Madison,Wisconsin,2013,243246
Malden,Massachusetts,2013,60817
Manchester,New Hampshire,2013,110758
Manhattan,Kansas,2013,56104
Mansfield,Texas,2013,61072
Manteca,California,2013,71740
Maple Grove,Minnesota,2013,65449
Margate,Florida,2013,55271
Maricopa,Arizona,2013,44817
Marietta,Georgia,2013,58937
Marysville,Washington,2013,63144
McAllen,Texas,2013,137649
McKinney,Texas,2013,149207
Medford,Massachusetts,2013,57424
Medford,Oregon,2013,76759
Melbourne,Florida,2013,77426
Memphis,Tennessee,2013,657877
Menifee,California,2013,83210
Merced,California,2013,80758
Meriden,Connecticut,2013,60510
Meridian,Idaho,2013,85060
Mesa,Arizona,2013,464980
Mesquite,Texas,2013,143565
Methuen Town,Massachusetts,2013,48706
Miami Beach,Florida,2013,91424
Miami Gardens,Florida,2013,111939
Miami,Florida,2013,419829
Midland,Texas,2013,124223
Midwest City,Oklahoma,2013,56866
Milford city (bal,Connecticut,2013,51668
Millcreek,Utah,2013,60285
Milpitas,California,2013,69975
Milwaukee,Wisconsin,2013,599965
Minneapolis,Minnesota,2013,400108
Minnetonka,Minnesota,2013,51444
Miramar,Florida,2013,130127
Mission Viejo,California,2013,96069
Mission,Texas,2013,81711
Missoula,Montana,2013,68946
Missouri City,Texas,2013,69296
Mobile,Alabama,2013,193555
Modesto,California,2013,206182
Montebello,California,2013,63321
Monterey Park,California,2013,60840
Montgomery,Alabama,2013,202426
Moore,Oklahoma,2013,58358
Moreno Valley,California,2013,200224
Mount Pleasant,South Carolina,2013,74377
Mount Prospect vi,Illinois,2013,55620
Mount Vernon,New York,2013,68135
Mountain View,California,2013,77978
Muncie,Indiana,2013,69715
Murfreesboro,Tennessee,2013,116872
Murrieta,California,2013,107379
Nampa,Idaho,2013,86351
Napa,California,2013,78777
Naperville,Illinois,2013,144912
Nashua,New Hampshire,2013,87335
Nashville-Davidson metropolitan government (bal,Tennessee,2013,636267
National City,California,2013,59799
New Bedford,Massachusetts,2013,95073
New Braunfels,Texas,2013,63005
New Britain,Connecticut,2013,73055
New Brunswick,New Jersey,2013,55907
New Haven,Connecticut,2013,130915
New Orleans,Louisiana,2013,378623
New Rochelle,New York,2013,79270
New York,New York,2013,8398739
Newark,New Jersey,2013,278152
Newark,Ohio,2013,48033
Newport Beach,California,2013,86940
Newport News,Virginia,2013,181320
Newton,Massachusetts,2013,87508
Niagara Falls,New York,2013,49459
Noblesville,Indiana,2013,56704
Norfolk,Virginia,2013,245449
Normal,Illinois,2013,54662
Norman,Oklahoma,2013,118136
North Charleston,South Carolina,2013,104096
North Las Vegas,Nevada,2013,225435
North Little Rock,Arkansas,2013,65939
North Miami,Florida,2013,60954
North Port,Florida,2013,59157
North Richland Hills,Texas,2013,67250
Norwalk,California,2013,106192
Norwalk,Connecticut,2013,87743
Novato,California,2013,54155
Novi,Michigan,2013,58127
O'Fallon,Missouri,2013,83071
Oak Lawn vi,Illinois,2013,57191
Oak Park vi,Illinois,2013,52275
Oakland,California,2013,406844
Ocala,Florida,2013,56808
Oceanside,California,2013,173088
Odessa,Texas,2013,110287
Ogden,Utah,2013,84130
Oklahoma City,Oklahoma,2013,611999
Olathe,Kansas,2013,131789
Olympia,Washington,2013,48469
Omaha,Nebraska,2013,459091
Ontario,California,2013,167166
Orange,California,2013,139705
Orem,Utah,2013,91327
Orland Park vi,Illinois,2013,58527
Orlando,Florida,2013,255156
Oshkosh,Wisconsin,2013,66811
Overland Park,Kansas,2013,180948
Owensboro,Kentucky,2013,58341
Oxnard,California,2013,202858
Palatine vi,Illinois,2013,69407
Palm Bay,Florida,2013,105341
Palm Beach Gardens,Florida,2013,51413
Palm Coast,Florida,2013,78413
Palm Desert,California,2013,50370
Palmdale,California,2013,156614
Palo Alto,California,2013,66655
Paramount,California,2013,54882
Parker,Colorado,2013,48354
Parma,Ohio,2013,80454
Pasadena,California,2013,139391
Pasadena,Texas,2013,153580
Pasco,Washington,2013,68442
Passaic,New Jersey,2013,70098
Paterson,New Jersey,2013,146089
Pawtucket,Rhode Island,2013,71617
Peabody,Massachusetts,2013,52243
Pearland,Texas,2013,102955
Pembroke Pines,Florida,2013,162160
Pensacola,Florida,2013,52268
Peoria,Arizona,2013,156371
Peoria,Illinois,2013,116599
Perris,California,2013,72343
Perth Amboy,New Jersey,2013,51737
Petaluma,California,2013,59306
Pflugerville,Texas,2013,53858
Pharr,Texas,2013,74375
Philadelphia,Pennsylvania,2013,1558371
Phoenix,Arizona,2013,1527336
Pico Rivera,California,2013,63636
Pinellas Park,Florida,2013,50339
Pittsburg,California,2013,66668
Pittsburgh,Pennsylvania,2013,307022
Placentia,California,2013,52136
Plainfield,New Jersey,2013,50333
Plano,Texas,2013,274587
Plantation,Florida,2013,90077
Pleasanton,California,2013,74060
Plymouth,Minnesota,2013,74101
Pocatello,Idaho,2013,54470
Pomona,California,2013,151137
Pompano Beach,Florida,2013,104218
Pontiac,Michigan,2013,60388
Port Arthur,Texas,2013,54746
Port Orange,Florida,2013,57510
Port St. Lucie,Florida,2013,169438
Porterville,California,2013,59038
Portland,Maine,2013,66388
Portland,Oregon,2013,609970
Portsmouth,Virginia,2013,96071
Providence,Rhode Island,2013,178784
Provo,Utah,2013,116127
Pueblo,Colorado,2013,107760
Quincy,Massachusetts,2013,93484
Racine,Wisconsin,2013,78074
Raleigh,North Carolina,2013,431102
Rancho Cordova,California,2013,67740
Rancho Cucamonga,California,2013,170910
Rapid City,South Dakota,2013,71167
Reading,Pennsylvania,2013,88295
Redding,California,2013,90775
Redlands,California,2013,69837
Redmond,Washington,2013,57657
Redondo Beach,California,2013,67666
Redwood City,California,2013,81075
Reno,Nevada,2013,231161
Renton,Washington,2013,97183
Revere,Massachusetts,2013,53731
Rialto,California,2013,101603
Richardson,Texas,2013,105180
Richland,Washington,2013,52169
Richmond,California,2013,107119
Richmond,Virginia,2013,213815
Rio Rancho,New Mexico,2013,91329
Riverside,California,2013,315667
Roanoke,Virginia,2013,98860
Rochester Hills,Michigan,2013,73118
Rochester,Minnesota,2013,110408
Rochester,New York,2013,210454
Rock Hill,South Carolina,2013,68438
Rockford,Illinois,2013,150629
Rocklin,California,2013,59622
Rockville,Maryland,2013,63852
Rocky Mount,North Carolina,2013,56335
Rogers,Arkansas,2013,60576
Rosemead,California,2013,54435
Roseville,California,2013,126659
Roswell,Georgia,2013,93669
Round Rock,Texas,2013,109507
Rowlett,Texas,2013,58116
Royal Oak,Michigan,2013,58565
Sacramento,California,2013,478360
Saginaw,Michigan,2013,50287
Salem,Oregon,2013,158843
Salinas,California,2013,155097
Salt Lake City,Utah,2013,191661
Sammamish,Washington,2013,61063
San Angelo,Texas,2013,97068
San Antonio,Texas,2013,1408787
San Bernardino,California,2013,213111
San Buenaventura (Ventura),California,2013,109419
San Clemente,California,2013,64862
San Diego,California,2013,1355951
San Francisco,California,2013,839841
San Jose,California,2013,1001253
San Leandro,California,2013,88102
San Marcos,California,2013,89494
San Marcos,Texas,2013,54350
San Mateo,California,2013,101385
San Rafael,California,2013,59005
San Ramon,California,2013,73595
Sandy Springs,Georgia,2013,99381
Sandy,Utah,2013,92459
Sanford,Florida,2013,56260
Santa Ana,California,2013,333887
Santa Barbara,California,2013,90127
Santa Clara,California,2013,120590
Santa Clarita,California,2013,207123
Santa Cruz,California,2013,62749
Santa Fe,New Mexico,2013,82822
Santa Maria,California,2013,102112
Santa Monica,California,2013,92115
Santa Rosa,California,2013,178933
Santee,California,2013,56179
Sarasota,Florida,2013,53151
Savannah,Georgia,2013,142660
Schaumburg vi,Illinois,2013,74935
Schenectady,New York,2013,65841
Scottsdale,Arizona,2013,228952
Scranton,Pennsylvania,2013,75838
Seattle,Washington,2013,654224
Shawnee,Kansas,2013,64241
Shoreline,Washington,2013,54857
Shreveport,Louisiana,2013,199923
Simi Valley,California,2013,125939
Sioux City,Iowa,2013,82610
Sioux Falls,South Dakota,2013,163472
Skokie vi,Illinois,2013,65355
Smyrna,Georgia,2013,53235
Smyrna,Tennessee,2013,43497
Somerville,Massachusetts,2013,78526
South Bend,Indiana,2013,101165
South Fulton,Georgia,2013,91749
South Gate,California,2013,94737
South Jordan,Utah,2013,59185
South San Francisco,California,2013,66308
Southaven,Mississippi,2013,50963
Southfield,Michigan,2013,73232
Sparks,Nevada,2013,93296
Spokane Valley,Washington,2013,91345
Spokane,Washington,2013,209745
Springdale,Arkansas,2013,75136
Springfield,Illinois,2013,117637
Springfield,Massachusetts,2013,154186
Springfield,Missouri,2013,163810
Springfield,Ohio,2013,59870
Springfield,Oregon,2013,60007
St. Charles,Missouri,2013,68065
St. Clair Shores,Michigan,2013,60187
St. Cloud,Florida,2013,42532
St. Cloud,Minnesota,2013,66103
St. George,Utah,2013,76284
St. Joseph,Missouri,2013,77221
St. Louis,Missouri,2013,318459
St. Paul,Minnesota,2013,295045
St. Peters,Missouri,2013,54798
St. Petersburg,Florida,2013,248492
Stamford,Connecticut,2013,126318
Sterling Heights,Michigan,2013,131528
Stillwater,Oklahoma,2013,47404
Stockton,California,2013,297172
Stonecrest,Georgia,2013,52071
Suffolk,Virginia,2013,85765
Sugar Land,Texas,2013,113501
Summerville,South Carolina,2013,45846
Sunnyvale,California,2013,148121
Sunrise,Florida,2013,89776
Surprise,Arizona,2013,125114
Syracuse,New York,2013,145096
Tacoma,Washington,2013,202130
Tallahassee,Florida,2013,185783
Tamarac,Florida,2013,62724
Tampa,Florida,2013,352426
Taunton,Massachusetts,2013,56164
Taylor,Michigan,2013,61960
Taylorsville,Utah,2013,60563
Temecula,California,2013,106102
Tempe,Arizona,2013,170807
Temple,Texas,2013,69531
Terre Haute,Indiana,2013,60903
Thornton,Colorado,2013,127096
Thousand Oaks,California,2013,128287
Tigard,Oregon,2013,50368
Tinley Park vi,Illinois,2013,57404
Toledo,Ohio,2013,282303
Topeka,Kansas,2013,127726
Torrance,California,2013,146791
Tracy,California,2013,84892
Trenton,New Jersey,2013,84524
Troy,Michigan,2013,83011
Troy,New York,2013,49913
Tucson,Arizona,2013,532956
Tulare,California,2013,60951
Tulsa,Oklahoma,2013,398649
Turlock,California,2013,70200
Tuscaloosa,Alabama,2013,94378
Tustin,California,2013,78166
Tyler,Texas,2013,99784
Union City,California,2013,72586
Union City,New Jersey,2013,68222
Upland,California,2013,75229
Urban Honolul,Hawaii,2013,349275
Utica,New York,2013,61683
Vacaville,California,2013,94047
Valdosta,Georgia,2013,56094
Vallejo,California,2013,118575
Vancouver,Washington,2013,171594
Victoria,Texas,2013,64992
Victorville,California,2013,120783
Vineland,New Jersey,2013,60879
Virginia Beach,Virginia,2013,447732
Visalia,California,2013,127379
Vista,California,2013,96418
Waco,Texas,2013,129065
Walnut Creek,California,2013,66840
Waltham,Massachusetts,2013,62311
Warner Robins,Georgia,2013,72727
Warren,Michigan,2013,135305
Warwick,Rhode Island,2013,81535
Washington,District of Columbia,2013,650431
Waterbury,Connecticut,2013,109751
Waterloo,Iowa,2013,68606
Watsonville,California,2013,52420
Waukegan,Illinois,2013,88884
Waukesha,Wisconsin,2013,71779
Wellington vi,Florida,2013,60313
West Allis,Wisconsin,2013,60815
West Covina,California,2013,107424
West Des Moines,Iowa,2013,59708
West Haven,Connecticut,2013,55132
West Jordan,Utah,2013,109812
West New York,New Jersey,2013,51256
West Palm Beach,Florida,2013,103443
West Sacramento,California,2013,50009
West Valley City,Utah,2013,133814
Westland,Michigan,2013,82664
Westminster,California,2013,91660
Westminster,Colorado,2013,110458
Weston,Florida,2013,68349
Weymouth Town,Massachusetts,2013,55458
Wheaton,Illinois,2013,53751
White Plains,New York,2013,57659
Whittier,California,2013,86383
Wichita Falls,Texas,2013,104955
Wichita,Kansas,2013,387240
Wilmington,Delaware,2013,71167
Wilmington,North Carolina,2013,111671
Winston-Salem,North Carolina,2013,235741
Woodbury,Minnesota,2013,65519
Woodland,California,2013,56731
Worcester,Massachusetts,2013,183458
Wylie,Texas,2013,45535
Wyoming,Michigan,2013,74306
Yakima,Washington,2013,92765
Yonkers,New York,2013,198809
Yorba Linda,California,2013,66845
Youngstown,Ohio,2013,65473
Yuba City,California,2013,65549
Yucaipa,California,2013,52579
Yuma,Arizona,2013,93075
Abilene,Texas,2014,120647
Akron,Ohio,2014,198937
Alameda,California,2014,77550
Albany,Georgia,2014,75914
Albany,New York,2014,98370
Albany,Oregon,2014,51352
Albuquerque,New Mexico,2014,557702
Alexandria,Virginia,2014,151431
Alhambra,California,2014,84865
Aliso Viejo,California,2014,50014
Allen,Texas,2014,94168
Allentown,Pennsylvania,2014,119181
Alpharetta,Georgia,2014,62704
Amarillo,Texas,2014,197188
Ames,Iowa,2014,64765
Anaheim,California,2014,345223
Anchorage municip,Alaska,2014,299927
Anderson,Indiana,2014,55358
Ankeny,Iowa,2014,53299
Ann Arbor,Michigan,2014,118733
Antioch,California,2014,109119
Apex,North Carolina,2014,43960
Apopka,Florida,2014,47761
Apple Valley,Minnesota,2014,50204
Apple Valley,California,2014,71193
Appleton,Wisconsin,2014,74000
Arcadia,California,2014,57593
Arlington Heights vi,Illinois,2014,76190
Arlington,Texas,2014,383074
Arvada,Colorado,2014,113679
Asheville,North Carolina,2014,87855
Athens-Clarke County unified government (bal,Georgia,2014,119131
Atlanta,Georgia,2014,460998
Auburn,Alabama,2014,60421
Auburn,Washington,2014,76139
Augusta-Richmond County consolidated government (bal,Georgia,2014,196473
Aurora,Colorado,2014,352391
Aurora,Illinois,2014,200245
Austin,Texas,2014,901734
Avondale,Arizona,2014,80772
Bakersfield,California,2014,367705
Baldwin Park,California,2014,76450
Baltimore,Maryland,2014,623165
Bartlett,Tennessee,2014,58334
Baton Rouge,Louisiana,2014,227774
Battle Creek,Michigan,2014,51773
Bayonne,New Jersey,2014,65397
Baytown,Texas,2014,76040
Beaumont,Texas,2014,117769
Beaverton,Oregon,2014,94751
Bellevue,Nebraska,2014,52715
Bellevue,Washington,2014,136445
Bellflower,California,2014,77587
Bellingham,Washington,2014,83440
Bend,Oregon,2014,83493
Bentonville,Arkansas,2014,41966
Berkeley,California,2014,118735
Berwyn,Illinois,2014,56812
Bethlehem,Pennsylvania,2014,74955
Billings,Montana,2014,108458
Birmingham,Alabama,2014,211109
Bismarck,North Dakota,2014,68915
Blaine,Minnesota,2014,61408
Bloomington,Illinois,2014,78881
Bloomington,Indiana,2014,83184
Bloomington,Minnesota,2014,85068
Blue Springs,Missouri,2014,53489
Boca Raton,Florida,2014,91296
Boise City,Idaho,2014,219471
Bolingbrook vi,Illinois,2014,74065
Bonita Springs,Florida,2014,49361
Bossier City,Louisiana,2014,67009
Boston,Massachusetts,2014,663017
Boulder,Colorado,2014,105482
Bowie,Maryland,2014,57811
Bowling Green,Kentucky,2014,62999
Boynton Beach,Florida,2014,73097
Bradenton,Florida,2014,52259
Brentwood,California,2014,56894
Bridgeport,Connecticut,2014,147892
Bristol,Connecticut,2014,60576
Brockton,Massachusetts,2014,94863
Broken Arrow,Oklahoma,2014,105028
Brookhaven,Georgia,2014,51959
Brooklyn Park,Minnesota,2014,78827
Broomfield,Colorado,2014,61769
Brownsville,Texas,2014,182009
Bryan,Texas,2014,80674
Buckeye,Arizona,2014,59097
Buena Park,California,2014,82694
Buffalo,New York,2014,259584
Burbank,California,2014,104508
Burien,Washington,2014,50364
Burlington,North Carolina,2014,51270
Burnsville,Minnesota,2014,61321
Caldwell,Idaho,2014,50129
Camarillo,California,2014,66570
Cambridge,Massachusetts,2014,113019
Camden,New Jersey,2014,75856
Canton,Ohio,2014,72281
Cape Coral,Florida,2014,168345
Carlsbad,California,2014,111688
Carmel,Indiana,2014,86459
Carrollton,Texas,2014,128245
Carson,Nevada,2014,54096
Carson,California,2014,92767
Cary,North Carolina,2014,155379
Casa Grande,Arizona,2014,51405
Casper,Wyoming,2014,59660
Castle Rock,Colorado,2014,55163
Cathedral City,California,2014,53238
Cedar Park,Texas,2014,67223
Cedar Rapids,Iowa,2014,129499
Centennial,Colorado,2014,107478
Cerritos,California,2014,49586
Champaign,Illinois,2014,84967
Chandler,Arizona,2014,240893
Chapel Hill,North Carolina,2014,59096
Charleston,South Carolina,2014,129654
Charleston,West Virginia,2014,50142
Charlotte,North Carolina,2014,807589
Chattanooga,Tennessee,2014,174461
Chesapeake,Virginia,2014,233380
Cheyenne,Wyoming,2014,62259
Chicago,Illinois,2014,2728524
Chico,California,2014,89545
Chicopee,Massachusetts,2014,56233
Chino Hills,California,2014,76571
Chino,California,2014,84367
Chula Vista,California,2014,260069
Cicero,Illinois,2014,84438
Cincinnati,Ohio,2014,298509
Citrus Heights,California,2014,85793
Clarksville,Tennessee,2014,145842
Clearwater,Florida,2014,111065
Cleveland,Ohio,2014,390850
Clifton,New Jersey,2014,85177
Clovis,California,2014,101853
Coconut Creek,Florida,2014,58519
Coeur d'Alene,Idaho,2014,47626
College Station,Texas,2014,103497
Collierville,Tennessee,2014,48757
Colorado Springs,Colorado,2014,441960
Colton,California,2014,53741
Columbia,Missouri,2014,117034
Columbia,South Carolina,2014,131785
Columbus,Georgia,2014,200552
Columbus,Ohio,2014,841740
Commerce City,Colorado,2014,51551
Compton,California,2014,97717
Concord,California,2014,127176
Concord,North Carolina,2014,85345
Conroe,Texas,2014,73692
Conway,Arkansas,2014,64099
Coon Rapids,Minnesota,2014,62163
Coral Gables,Florida,2014,50637
Coral Springs,Florida,2014,128366
Corona,California,2014,160656
Corpus Christi,Texas,2014,320863
Corvallis,Oregon,2014,55522
Costa Mesa,California,2014,112577
Council Bluffs,Iowa,2014,62390
Cranston,Rhode Island,2014,81189
Cupertino,California,2014,60646
Dallas,Texas,2014,1279679
Daly City,California,2014,105972
Danbury,Connecticut,2014,83722
Davenport,Iowa,2014,102360
Davie,Florida,2014,99257
Davis,California,2014,66576
Dayton,Ohio,2014,141118
Daytona Beach,Florida,2014,63544
DeSoto,Texas,2014,52118
Dearborn Heights,Michigan,2014,56602
Dearborn,Michigan,2014,95985
Decatur,Alabama,2014,55246
Decatur,Illinois,2014,74163
Deerfield Beach,Florida,2014,78598
Delano,California,2014,52468
Delray Beach,Florida,2014,65040
Deltona,Florida,2014,86293
Denton,Texas,2014,128309
Denver,Colorado,2014,664870
Des Moines,Iowa,2014,214390
Des Plaines,Illinois,2014,59138
Detroit,Michigan,2014,682669
Diamond Bar,California,2014,56318
Doral,Florida,2014,54177
Dothan,Alabama,2014,68009
Downey,California,2014,113195
Dublin,California,2014,54581
Dubuque,Iowa,2014,58573
Duluth,Minnesota,2014,86089
Durham,North Carolina,2014,253316
Eagan,Minnesota,2014,66008
East Orange,New Jersey,2014,64285
Eastvale,California,2014,57734
Eau Claire,Wisconsin,2014,67747
Eden Prairie,Minnesota,2014,63349
Edina,Minnesota,2014,49710
Edinburg,Texas,2014,90505
Edmond,Oklahoma,2014,88656
El Cajon,California,2014,102777
El Monte,California,2014,115685
El Paso,Texas,2014,677745
Elgin,Illinois,2014,111054
Elizabeth,New Jersey,2014,127698
Elk Grove,California,2014,162800
Elkhart,Indiana,2014,52315
Elyria,Ohio,2014,54083
Encinitas,California,2014,62048
Enid,Oklahoma,2014,51134
Erie,Pennsylvania,2014,99712
Escondido,California,2014,149799
Eugene,Oregon,2014,160284
Euless,Texas,2014,53587
Evanston,Illinois,2014,76034
Evansville,Indiana,2014,120154
Everett,Washington,2014,106580
Fairfield,California,2014,110735
Fall River,Massachusetts,2014,89153
Fargo,North Dakota,2014,115648
Farmington Hills,Michigan,2014,81749
Fayetteville,Arkansas,2014,80424
Fayetteville,North Carolina,2014,210079
